category,action,count
Accessory,default,294
Accessory,alert,155
Accessory,fly,155
Accessory,heal,155
Accessory,jump,155
Accessory,prone,155
Accessory,proneStab,155
Accessory,shoot1,155
Accessory,shoot2,155
Accessory,shootF,155
Accessory,sit,155
Accessory,stabO1,155
Accessory,stabO2,155
Accessory,stabOF,155
Accessory,stabT1,155
Accessory,stabT2,155
Accessory,stabTF,155
Accessory,stand1,155
Accessory,stand2,155
Accessory,swingO1,155
Accessory,swingO2,155
Accessory,swingO3,155
Accessory,swingOF,155
Accessory,swingP1,155
Accessory,swingP2,155
Accessory,swingPF,155
Accessory,swingT1,155
Accessory,swingT2,155
Accessory,swingT3,155
Accessory,swingTF,155
Accessory,walk1,155
Accessory,walk2,155
Accessory,angry,139
Accessory,bewildered,139
Accessory,blaze,139
Accessory,blink,139
Accessory,cheers,139
Accessory,chu,139
Accessory,cry,139
Accessory,despair,139
Accessory,glitter,139
Accessory,hit,139
Accessory,love,139
Accessory,oops,139
Accessory,pain,139
Accessory,shine,139
Accessory,smile,139
Accessory,stunned,139
Accessory,troubled,139
Accessory,vomit,139
Accessory,wink,139
Accessory,bowing,137
Accessory,hot,137
Accessory,hum,137
Accessory,dam,131
Accessory,backDefault,59
Accessory,ladder,59
Accessory,rope,59
Afterimage,0,13
Afterimage,1,13
Afterimage,10,13
Afterimage,2,13
Afterimage,3,13
Afterimage,4,13
Afterimage,5,13
Afterimage,6,13
Afterimage,7,13
Afterimage,8,13
Afterimage,9,13
Afterimage,charge,8
Afterimage,11,5
Afterimage,12,5
Afterimage,13,5
Afterimage,14,5
Afterimage,15,4
Afterimage,16,4
Afterimage,anniversary,1
Afterimage,anniversary1,1
Afterimage,anniversary2,1
Afterimage,anniversary3,1
Afterimage,anniversary4,1
Afterimage,anniversary5,1
Afterimage,axe,1
Afterimage,crossBow,1
Afterimage,mace,1
Afterimage,mace1,1
Afterimage,mace2,1
Afterimage,maceF,1
Afterimage,poleArm,1
Afterimage,spear,1
Afterimage,sword1,1
Afterimage,sword2,1
Afterimage,swordF,1
Afterimage,swordOL,1
Afterimage,swordOS,1
Afterimage,swordTL,1
Afterimage,swordTS,1
Cap,alert,907
Cap,fly,907
Cap,heal,907
Cap,jump,907
Cap,ladder,907
Cap,prone,907
Cap,proneStab,907
Cap,rope,907
Cap,shoot1,907
Cap,shoot2,907
Cap,shootF,907
Cap,sit,907
Cap,stabO1,907
Cap,stabO2,907
Cap,stabOF,907
Cap,stabT1,907
Cap,stabT2,907
Cap,stabTF,907
Cap,stand1,907
Cap,stand2,907
Cap,swingO1,907
Cap,swingO2,907
Cap,swingO3,907
Cap,swingOF,907
Cap,swingP1,907
Cap,swingP2,907
Cap,swingPF,907
Cap,swingT1,907
Cap,swingT2,907
Cap,swingT3,907
Cap,swingTF,907
Cap,walk1,907
Cap,walk2,907
Cap,backDefault,906
Cap,default,903
Cap,default0,3
Cap,default1,3
Cap,ActionAtk0,1
Cap,ActionAtk00,1
Cap,ActionAtk1,1
Cap,attackDefault,1
Cap,attackDefaultSE,1
Cap,defaultAC,1
Cap,weekly,1
Cape,alert,177
Cape,fly,177
Cape,jump,177
Cape,ladder,177
Cape,prone,177
Cape,proneStab,177
Cape,rope,177
Cape,shoot1,177
Cape,shoot2,177
Cape,shootF,177
Cape,sit,177
Cape,stabO1,177
Cape,stabO2,177
Cape,stabOF,177
Cape,stabT1,177
Cape,stabT2,177
Cape,stabTF,177
Cape,stand1,177
Cape,stand2,177
Cape,swingO1,177
Cape,swingO2,177
Cape,swingO3,177
Cape,swingOF,177
Cape,swingP1,177
Cape,swingP2,177
Cape,swingPF,177
Cape,swingT1,177
Cape,swingT2,177
Cape,swingT3,177
Cape,swingTF,177
Cape,walk2,177
Cape,heal,176
Cape,walk1,176
Coat,alert,462
Coat,fly,462
