item_root,group_file,id,name,desc,has_icon,has_icon_raw,price,cash_flag,slot_max,xml_relpath,png_dir_relpath,icon_png_relpath,icon_raw_png_relpath
Cash,0501,5010000,Sunny Day,"A special effect in which you'll see a brightly smiling sun floating over you. On the KeyConfig, configure this on a button of your choice to turn the effect on/off.",1,1,,1,,Item/Item.wz/Cash/0501.img.xml,Item/Item.wz/Cash/0501.img/05010000/info,Item/Item.wz/Cash/0501.img/05010000/info/icon.png,Item/Item.wz/Cash/0501.img/05010000/info/iconRaw.png
Cash,0501,5010001,Moon & the Stars,"A special effect in which you'll see a brightly smiling moon floating around in a sea of stars over you. On the KeyConfig, configure this on a button of your choice to turn the effect on/off.",1,1,,1,,Item/Item.wz/Cash/0501.img.xml,Item/Item.wz/Cash/0501.img/05010001/info,Item/Item.wz/Cash/0501.img/05010001/info/icon.png,Item/Item.wz/Cash/0501.img/05010001/info/iconRaw.png
Cash,0501,5010002,Colorful Rainbow,A special effect in which you'll see a rainbow in its full 7 colors floating next to you. Designate a HotKey to turn the effect on/off.,1,1,,1,,Item/Item.wz/Cash/0501.img.xml,Item/Item.wz/Cash/0501.img/05010002/info,Item/Item.wz/Cash/0501.img/05010002/info/icon.png,Item/Item.wz/Cash/0501.img/05010002/info/iconRaw.png
Cash,0501,5010003,Little Devil,A special effect in which you'll see Lilly the cute little devil floating around next to you. Designate a HotKey to turn the effect on/off.,1,1,,1,,Item/Item.wz/Cash/0501.img.xml,Item/Item.wz/Cash/0501.img/05010003/info,Item/Item.wz/Cash/0501.img/05010003/info/icon.png,Item/Item.wz/Cash/0501.img/05010003/info/iconRaw.png
Cash,0501,5010004,Underwater,A special effect that shows a submarine under the water.  Designate a HotKey to turn the effect on/off.,1,1,,1,,Item/Item.wz/Cash/0501.img.xml,Item/Item.wz/Cash/0501.img/05010004/info,Item/Item.wz/Cash/0501.img/05010004/info/icon.png,Item/Item.wz/Cash/0501.img/05010004/info/iconRaw.png
Cash,0501,5010005,Looking for Love,A special effect that displays the longing to be with someone special.  Designate a HotKey to turn the effect on/off.,1,1,,1,,Item/Item.wz/Cash/0501.img.xml,Item/Item.wz/Cash/0501.img/05010005/info,Item/Item.wz/Cash/0501.img/05010005/info/icon.png,Item/Item.wz/Cash/0501.img/05010005/info/iconRaw.png
Cash,0501,5010006,Baby Angel,A lovely effect that shows a baby angel floating around as your protector.  Designate a HotKey to turn the effect on/off.,1,1,,1,,Item/Item.wz/Cash/0501.img.xml,Item/Item.wz/Cash/0501.img/05010006/info,Item/Item.wz/Cash/0501.img/05010006/info/icon.png,Item/Item.wz/Cash/0501.img/05010006/info/iconRaw.png
Cash,0501,5010007,Fugitive,A special effect that puts a poster in front of your face as if you're being wanted around the world.  Designate a HotKey to turn the effect on/off.,1,1,,1,,Item/Item.wz/Cash/0501.img.xml,Item/Item.wz/Cash/0501.img/05010007/info,Item/Item.wz/Cash/0501.img/05010007/info/icon.png,Item/Item.wz/Cash/0501.img/05010007/info/iconRaw.png
Cash,0501,5010008,Mr. Jackpot,A special effect used to increase the chance of winning with Slot Machine by 2x. Designate a HotKey to turn the effect on/off.,1,1,,1,,Item/Item.wz/Cash/0501.img.xml,Item/Item.wz/Cash/0501.img/05010008/info,Item/Item.wz/Cash/0501.img/05010008/info/icon.png,Item/Item.wz/Cash/0501.img/05010008/info/iconRaw.png
Cash,0501,5010009,Martial Effect,A special effect that appears Chinese Falg. Designate a HotKey to turn the effect on/off.,1,1,,1,,Item/Item.wz/Cash/0501.img.xml,Item/Item.wz/Cash/0501.img/05010009/info,Item/Item.wz/Cash/0501.img/05010009/info/icon.png,Item/Item.wz/Cash/0501.img/05010009/info/iconRaw.png
