item_root,group_file,id,name,desc,has_icon,has_icon_raw,price,cash_flag,slot_max,xml_relpath,png_dir_relpath,icon_png_relpath,icon_raw_png_relpath
Consume,0200,2000000,Red Potion,A potion made out of red herbs.\nRecovers 50 HP.,1,1,25,,,Item/Item.wz/Consume/0200.img.xml,Item/Item.wz/Consume/0200.img/02000000/info,Item/Item.wz/Consume/0200.img/02000000/info/icon.png,Item/Item.wz/Consume/0200.img/02000000/info/iconRaw.png
Consume,0200,2000001,Orange Potion,A concentrated potion made out of red herbs.\nRecovers 150 HP.,1,1,80,,,Item/Item.wz/Consume/0200.img.xml,Item/Item.wz/Consume/0200.img/02000001/info,Item/Item.wz/Consume/0200.img/02000001/info/icon.png,Item/Item.wz/Consume/0200.img/02000001/info/iconRaw.png
Consume,0200,2000002,White Potion,A highly-concentrated potion made out of red herbs.\nRecovers 300 HP.,1,1,160,,,Item/Item.wz/Consume/0200.img.xml,Item/Item.wz/Consume/0200.img/02000002/info,Item/Item.wz/Consume/0200.img/02000002/info/icon.png,Item/Item.wz/Consume/0200.img/02000002/info/iconRaw.png
Consume,0200,2000003,Blue Potion,A potion made out of blue herbs.\nRecovers 100 MP.,1,1,100,,,Item/Item.wz/Consume/0200.img.xml,Item/Item.wz/Consume/0200.img/02000003/info,Item/Item.wz/Consume/0200.img/02000003/info/icon.png,Item/Item.wz/Consume/0200.img/02000003/info/iconRaw.png
Consume,0200,2000004,Elixir,A legendary potion.\nRecovers 50%  HP and 50% MP.,1,1,1000,,,Item/Item.wz/Consume/0200.img.xml,Item/Item.wz/Consume/0200.img/02000004/info,Item/Item.wz/Consume/0200.img/02000004/info/icon.png,Item/Item.wz/Consume/0200.img/02000004/info/iconRaw.png
Consume,0200,2000005,Power Elixir,A legendary potion.\nRecovers all HP and MP.,1,1,2500,,,Item/Item.wz/Consume/0200.img.xml,Item/Item.wz/Consume/0200.img/02000005/info,Item/Item.wz/Consume/0200.img/02000005/info/icon.png,Item/Item.wz/Consume/0200.img/02000005/info/iconRaw.png
Consume,0200,2000006,Mana Elixir,A legendary potion.\nRecovers around 300 MP.,1,1,310,,,Item/Item.wz/Consume/0200.img.xml,Item/Item.wz/Consume/0200.img/02000006/info,Item/Item.wz/Consume/0200.img/02000006/info/icon.png,Item/Item.wz/Consume/0200.img/02000006/info/iconRaw.png
Consume,0200,2000007,Red Pill,"A pill of concentrated red potion, which restores 50 HP. You can carry more pills than potions because they're smaller",1,1,25,,150,Item/Item.wz/Consume/0200.img.xml,Item/Item.wz/Consume/0200.img/02000007/info,Item/Item.wz/Consume/0200.img/02000007/info/icon.png,Item/Item.wz/Consume/0200.img/02000007/info/iconRaw.png
Consume,0200,2000008,Orange Pill,"A pill of concentrated orange potion, which restores 150 HP. You can carry more pills than potions because they're smaller",1,1,80,,150,Item/Item.wz/Consume/0200.img.xml,Item/Item.wz/Consume/0200.img/02000008/info,Item/Item.wz/Consume/0200.img/02000008/info/icon.png,Item/Item.wz/Consume/0200.img/02000008/info/iconRaw.png
Consume,0200,2000009,White Pill,"A pill of concentrated white potion, which restores 300 HP. You can carry more pills than potions because they're smaller",1,1,160,,150,Item/Item.wz/Consume/0200.img.xml,Item/Item.wz/Consume/0200.img/02000009/info,Item/Item.wz/Consume/0200.img/02000009/info/icon.png,Item/Item.wz/Consume/0200.img/02000009/info/iconRaw.png
Consume,0200,2000010,Blue Pill,"A pill of concentrated blue potion, which restores 100 MP. You can carry more pills than potions because they're smaller",1,1,100,,150,Item/Item.wz/Consume/0200.img.xml,Item/Item.wz/Consume/0200.img/02000010/info,Item/Item.wz/Consume/0200.img/02000010/info/icon.png,Item/Item.wz/Consume/0200.img/02000010/info/iconRaw.png
Consume,0200,2000011,Mana Elixir Pill,"A pill of concentrated Mana Elixir, which restores 300 MP. You can carry more pills than potions because they're smaller",1,1,310,,150,Item/Item.wz/Consume/0200.img.xml,Item/Item.wz/Consume/0200.img/02000011/info,Item/Item.wz/Consume/0200.img/02000011/info/icon.png,Item/Item.wz/Consume/0200.img/02000011/info/iconRaw.png
Consume,0200,2000012,Elixir,A legendary secret potion.\nRecovers 50% of HP and MP.,1,1,1000,,,Item/Item.wz/Consume/0200.img.xml,Item/Item.wz/Consume/0200.img/02000012/info,Item/Item.wz/Consume/0200.img/02000012/info/icon.png,Item/Item.wz/Consume/0200.img/02000012/info/iconRaw.png
Consume,0200,2000013,Red Potion for Beginners,A potion made out of red herbs made especially for beginners. \nRecovers 40 HP.,1,1,1,,,Item/Item.wz/Consume/0200.img.xml,Item/Item.wz/Consume/0200.img/02000013/info,Item/Item.wz/Consume/0200.img/02000013/info/icon.png,Item/Item.wz/Consume/0200.img/02000013/info/iconRaw.png
Consume,0200,2000014,Blue Potion for Beginners,A potion made out of blue herbs made especially for beginners. \nRecovers 80 MP.,1,1,1,,,Item/Item.wz/Consume/0200.img.xml,Item/Item.wz/Consume/0200.img/02000014/info,Item/Item.wz/Consume/0200.img/02000014/info/icon.png,Item/Item.wz/Consume/0200.img/02000014/info/iconRaw.png
Consume,0200,2000015,Orange Potion for Beginners,A concentrated potion made out of red herbs.\nRecovers 150 HP.,1,1,0,,,Item/Item.wz/Consume/0200.img.xml,Item/Item.wz/Consume/0200.img/02000015/info,Item/Item.wz/Consume/0200.img/02000015/info/icon.png,Item/Item.wz/Consume/0200.img/02000015/info/iconRaw.png
Consume,0200,2000016,White Potion,A highly-concentrated potion made out of red herbs.\nRecovers 300 HP.,1,1,0,,,Item/Item.wz/Consume/0200.img.xml,Item/Item.wz/Consume/0200.img/02000016/info,Item/Item.wz/Consume/0200.img/02000016/info/icon.png,Item/Item.wz/Consume/0200.img/02000016/info/iconRaw.png
Consume,0200,2000017,Blue Potion,A potion made out of blue herbs.\nRecovers 100 MP.,1,1,0,,,Item/Item.wz/Consume/0200.img.xml,Item/Item.wz/Consume/0200.img/02000017/info,Item/Item.wz/Consume/0200.img/02000017/info/icon.png,Item/Item.wz/Consume/0200.img/02000017/info/iconRaw.png
Consume,0200,2000018,Mana Elixir,A legendary potion.\nRecovers around 300 MP.,1,1,0,,,Item/Item.wz/Consume/0200.img.xml,Item/Item.wz/Consume/0200.img/02000018/info,Item/Item.wz/Consume/0200.img/02000018/info/icon.png,Item/Item.wz/Consume/0200.img/02000018/info/iconRaw.png
Consume,0200,2000019,Power Elixir,A legendary potion.\nRecovers all HP and MP.,1,1,0,,,Item/Item.wz/Consume/0200.img.xml,Item/Item.wz/Consume/0200.img/02000019/info,Item/Item.wz/Consume/0200.img/02000019/info/icon.png,Item/Item.wz/Consume/0200.img/02000019/info/iconRaw.png
Consume,0200,2000020,Red Potion for Noblesse,A special potion made out of herbs that exclusively grow in Ereve. Made specifically for Noblesss. nHP +50.,1,1,20,,,Item/Item.wz/Consume/0200.img.xml,Item/Item.wz/Consume/0200.img/02000020/info,Item/Item.wz/Consume/0200.img/02000020/info/icon.png,Item/Item.wz/Consume/0200.img/02000020/info/iconRaw.png
Consume,0200,2000021,Blue Potion for Noblesse,A special potion made out of herbs that exclusively grow in Ereve. Made specifically for Noblesss. nMP +100.,1,1,80,,,Item/Item.wz/Consume/0200.img.xml,Item/Item.wz/Consume/0200.img/02000021/info,Item/Item.wz/Consume/0200.img/02000021/info/icon.png,Item/Item.wz/Consume/0200.img/02000021/info/iconRaw.png
Consume,0200,2000022,Special Rien Red Potion,A special bottle of potion consisting of herbs that only grow in Rien. \nRecovers HP +100.,1,1,50,,,Item/Item.wz/Consume/0200.img.xml,Item/Item.wz/Consume/0200.img/02000022/info,Item/Item.wz/Consume/0200.img/02000022/info/icon.png,Item/Item.wz/Consume/0200.img/02000022/info/iconRaw.png
