item_root,group_file,id,name,desc,has_icon,has_icon_raw,price,cash_flag,slot_max,xml_relpath,png_dir_relpath,icon_png_relpath,icon_raw_png_relpath
Pet,5000000,5000000,Brown Kitty,"They are quiet and gentle in nature, so they don't go craving for food too often. They don't seem to be too obedient of their owners.",1,1,,1,,Item/Item.wz/Pet/5000000.img.xml,Item/Item.wz/Pet/5000000.img/info,Item/Item.wz/Pet/5000000.img/info/icon.png,Item/Item.wz/Pet/5000000.img/info/iconRaw.png
Pet,5000001,5000001,Brown Puppy,"They are outgoing and active in nature, so they can't sit still for a period of time, which makes them hungry often. They are very obedient of their owners.",1,1,,1,,Item/Item.wz/Pet/5000001.img.xml,Item/Item.wz/Pet/5000001.img/info,Item/Item.wz/Pet/5000001.img/info/icon.png,Item/Item.wz/Pet/5000001.img/info/iconRaw.png
Pet,5000002,5000002,Pink Bunny,"They are well-behaved and quiet, so they don't need to be fed more than the usual amount. They are smart and obedient, but also stubborn.",1,1,,1,,Item/Item.wz/Pet/5000002.img.xml,Item/Item.wz/Pet/5000002.img/info,Item/Item.wz/Pet/5000002.img/info/icon.png,Item/Item.wz/Pet/5000002.img/info/iconRaw.png
Pet,5000003,5000003,Mini Kargo,"They are very very active, so they get hungry pretty often. Very intelligent, they are quite obedient of their owners.",1,1,,1,,Item/Item.wz/Pet/5000003.img.xml,Item/Item.wz/Pet/5000003.img/info,Item/Item.wz/Pet/5000003.img/info/icon.png,Item/Item.wz/Pet/5000003.img/info/iconRaw.png
Pet,5000004,5000004,Black Kitty,"They are quiet and gentle in nature, so they don't go craving for food too often. They don't seem to be too obedient of their owners.",1,1,,1,,Item/Item.wz/Pet/5000004.img.xml,Item/Item.wz/Pet/5000004.img/info,Item/Item.wz/Pet/5000004.img/info/icon.png,Item/Item.wz/Pet/5000004.img/info/iconRaw.png
Pet,5000005,5000005,White Bunny,"They are well-behaved and quiet, so they don't need to be fed more than the usual amount. They are smart and obedient, but also stubborn.",1,1,,1,,Item/Item.wz/Pet/5000005.img.xml,Item/Item.wz/Pet/5000005.img/info,Item/Item.wz/Pet/5000005.img/info/icon.png,Item/Item.wz/Pet/5000005.img/info/iconRaw.png
Pet,5000006,5000006,Husky,"Active, yet calm at times. Can be moderately fed. Very smart in general. ",1,1,,1,,Item/Item.wz/Pet/5000006.img.xml,Item/Item.wz/Pet/5000006.img/info,Item/Item.wz/Pet/5000006.img/info/icon.png,Item/Item.wz/Pet/5000006.img/info/iconRaw.png
Pet,5000007,5000007,Black Pig,"Very active and hungry at all times. Need to be fed often. Very friendly in nature, so it's easy to increase the level of closeness with it.",1,1,,1,,Item/Item.wz/Pet/5000007.img.xml,Item/Item.wz/Pet/5000007.img/info,Item/Item.wz/Pet/5000007.img/info/icon.png,Item/Item.wz/Pet/5000007.img/info/iconRaw.png
Pet,5000008,5000008,Panda,"Calm, relaxed, and gentle. A very rare creature.",1,1,,1,,Item/Item.wz/Pet/5000008.img.xml,Item/Item.wz/Pet/5000008.img/info,Item/Item.wz/Pet/5000008.img/info/icon.png,Item/Item.wz/Pet/5000008.img/info/iconRaw.png
Pet,5000009,5000009,Dino Boy,A very adorable male baby dinosaur that is both active and unpredictable. ,1,1,,1,,Item/Item.wz/Pet/5000009.img.xml,Item/Item.wz/Pet/5000009.img/info,Item/Item.wz/Pet/5000009.img/info/icon.png,Item/Item.wz/Pet/5000009.img/info/iconRaw.png
Pet,5000010,5000010,Dino Girl,A very adorable female baby dinosaur that is both active and unpredictable.,1,1,,1,,Item/Item.wz/Pet/5000010.img.xml,Item/Item.wz/Pet/5000010.img/info,Item/Item.wz/Pet/5000010.img/info/icon.png,Item/Item.wz/Pet/5000010.img/info/iconRaw.png
Pet,5000011,5000011,Monkey,"The always-curious monkey never rests, wanders around.",1,1,,1,,Item/Item.wz/Pet/5000011.img.xml,Item/Item.wz/Pet/5000011.img/info,Item/Item.wz/Pet/5000011.img/info/icon.png,Item/Item.wz/Pet/5000011.img/info/iconRaw.png
Pet,5000012,5000012,White Tiger,"They are very gentle and obedient in nature, easily becoming friendly with the owner, which in turn speeds up the level-up process.",1,1,,1,,Item/Item.wz/Pet/5000012.img.xml,Item/Item.wz/Pet/5000012.img/info,Item/Item.wz/Pet/5000012.img/info/icon.png,Item/Item.wz/Pet/5000012.img/info/iconRaw.png
Pet,5000013,5000013,Elephant,Very outgoing and mature; doesn't need to be fed all the time. An intelligent pet that easily understands the commands from the master. ,1,1,,1,,Item/Item.wz/Pet/5000013.img.xml,Item/Item.wz/Pet/5000013.img/info,Item/Item.wz/Pet/5000013.img/info/icon.png,Item/Item.wz/Pet/5000013.img/info/iconRaw.png
Pet,5000014,5000014,Rudolph,"Every Christmas, Santa Claus rides on the sleigh driven by his trusty sidekick, Rudolph.",1,1,,1,,Item/Item.wz/Pet/5000014.img.xml,Item/Item.wz/Pet/5000014.img/info,Item/Item.wz/Pet/5000014.img/info/icon.png,Item/Item.wz/Pet/5000014.img/info/iconRaw.png
Pet,5000015,5000015,Dasher,"They are smart and obedient by nature, picking up commands faster than other pets, but they also can get hungry in a hurry.",1,1,,1,,Item/Item.wz/Pet/5000015.img.xml,Item/Item.wz/Pet/5000015.img/info,Item/Item.wz/Pet/5000015.img/info/icon.png,Item/Item.wz/Pet/5000015.img/info/iconRaw.png
Pet,5000017,5000017,Robot,"A hyper-active robot that always changes its mind on everything. Very unpredictable, yet easy to please.",1,1,,1,,Item/Item.wz/Pet/5000017.img.xml,Item/Item.wz/Pet/5000017.img/info,Item/Item.wz/Pet/5000017.img/info/icon.png,Item/Item.wz/Pet/5000017.img/info/iconRaw.png
Pet,5000018,5000018,Husky,"Active, yet calm at times. Can be moderately fed. Very smart in general. ",1,1,,1,,Item/Item.wz/Pet/5000018.img.xml,Item/Item.wz/Pet/5000018.img/info,Item/Item.wz/Pet/5000018.img/info/icon.png,Item/Item.wz/Pet/5000018.img/info/iconRaw.png
