item_root,group_file,id,name,desc,has_icon,has_icon_raw,price,cash_flag,slot_max,xml_relpath,png_dir_relpath,icon_png_relpath,icon_raw_png_relpath
Special,MaplePoint,100,,,1,1,,,,Item/Item.wz/Special/MaplePoint.img.xml,Item/Item.wz/Special/MaplePoint.img/100/info,Item/Item.wz/Special/MaplePoint.img/100/info/icon.png,Item/Item.wz/Special/MaplePoint.img/100/info/iconRaw.png
Special,MaplePoint,200,,,1,1,,,,Item/Item.wz/Special/MaplePoint.img.xml,Item/Item.wz/Special/MaplePoint.img/200/info,Item/Item.wz/Special/MaplePoint.img/200/info/icon.png,Item/Item.wz/Special/MaplePoint.img/200/info/iconRaw.png
Special,MaplePoint,300,,,1,1,,,,Item/Item.wz/Special/MaplePoint.img.xml,Item/Item.wz/Special/MaplePoint.img/300/info,Item/Item.wz/Special/MaplePoint.img/300/info/icon.png,Item/Item.wz/Special/MaplePoint.img/300/info/iconRaw.png
Special,MaplePoint,400,,,1,1,,,,Item/Item.wz/Special/MaplePoint.img.xml,Item/Item.wz/Special/MaplePoint.img/400/info,Item/Item.wz/Special/MaplePoint.img/400/info/icon.png,Item/Item.wz/Special/MaplePoint.img/400/info/iconRaw.png
Special,MaplePoint,500,,,1,1,,,,Item/Item.wz/Special/MaplePoint.img.xml,Item/Item.wz/Special/MaplePoint.img/500/info,Item/Item.wz/Special/MaplePoint.img/500/info/icon.png,Item/Item.wz/Special/MaplePoint.img/500/info/iconRaw.png
Special,MaplePoint,600,,,1,1,,,,Item/Item.wz/Special/MaplePoint.img.xml,Item/Item.wz/Special/MaplePoint.img/600/info,Item/Item.wz/Special/MaplePoint.img/600/info/icon.png,Item/Item.wz/Special/MaplePoint.img/600/info/iconRaw.png
Special,MaplePoint,700,,,1,1,,,,Item/Item.wz/Special/MaplePoint.img.xml,Item/Item.wz/Special/MaplePoint.img/700/info,Item/Item.wz/Special/MaplePoint.img/700/info/icon.png,Item/Item.wz/Special/MaplePoint.img/700/info/iconRaw.png
Special,MaplePoint,800,,,1,1,,,,Item/Item.wz/Special/MaplePoint.img.xml,Item/Item.wz/Special/MaplePoint.img/800/info,Item/Item.wz/Special/MaplePoint.img/800/info/icon.png,Item/Item.wz/Special/MaplePoint.img/800/info/iconRaw.png
Special,MaplePoint,900,,,1,1,,,,Item/Item.wz/Special/MaplePoint.img.xml,Item/Item.wz/Special/MaplePoint.img/900/info,Item/Item.wz/Special/MaplePoint.img/900/info/icon.png,Item/Item.wz/Special/MaplePoint.img/900/info/iconRaw.png
Special,MaplePoint,1000,,,1,1,,,,Item/Item.wz/Special/MaplePoint.img.xml,Item/Item.wz/Special/MaplePoint.img/1000/info,Item/Item.wz/Special/MaplePoint.img/1000/info/icon.png,Item/Item.wz/Special/MaplePoint.img/1000/info/iconRaw.png
Special,MaplePoint,2000,,,1,1,,,,Item/Item.wz/Special/MaplePoint.img.xml,Item/Item.wz/Special/MaplePoint.img/2000/info,Item/Item.wz/Special/MaplePoint.img/2000/info/icon.png,Item/Item.wz/Special/MaplePoint.img/2000/info/iconRaw.png
Special,MaplePoint,3000,,,1,1,,,,Item/Item.wz/Special/MaplePoint.img.xml,Item/Item.wz/Special/MaplePoint.img/3000/info,Item/Item.wz/Special/MaplePoint.img/3000/info/icon.png,Item/Item.wz/Special/MaplePoint.img/3000/info/iconRaw.png
Special,MaplePoint,4000,,,1,1,,,,Item/Item.wz/Special/MaplePoint.img.xml,Item/Item.wz/Special/MaplePoint.img/4000/info,Item/Item.wz/Special/MaplePoint.img/4000/info/icon.png,Item/Item.wz/Special/MaplePoint.img/4000/info/iconRaw.png
