template,action_count,delay_entries,min_delay,max_delay,uol_refs
00002000.img,157,749,-1800,2670,21
00002001.img,42,158,100,1000,21
00002002.img,42,158,100,1000,21
00002003.img,42,158,100,1000,21
00002004.img,42,158,100,1000,21
00002005.img,43,124,100,1000,21
00002009.img,106,436,-1800,1320,21
00002010.img,103,429,-1800,1320,21
00002011.img,42,158,100,1000,21
00012000.img,35,0,,,95
00012001.img,35,0,,,95
00012002.img,35,0,,,95
00012003.img,35,0,,,95
00012004.img,35,0,,,95
00012005.img,36,0,,,95
00012009.img,35,0,,,95
00012010.img,35,0,,,95
00012011.img,35,0,,,95
