category,xml_files,unique_islot_count,unique_vslot_count,unique_z_count,unique_anchor_count,unique_action_count,delay_entries,uol_refs
Accessory,500,6,6,8,1,58,3,17954
Afterimage,15,0,0,0,0,39,2143,0
Cap,908,2,26,13,2,44,33,94972
Cape,178,2,2,12,1,33,1,3023
Coat,462,2,3,14,1,33,1,10697
Dragon,12,1,1,0,0,0,0,0
Face,536,1,1,1,1,24,11855,0
Glove,236,2,2,14,3,33,1,7006
Hair,1518,1,1,9,1,36,0,474846
Longcoat,491,1,1,18,1,33,2,9682
Pants,404,1,1,8,1,33,3,8846
PetEquip,69,0,0,0,0,47,4095,29116
Ring,112,1,1,0,0,0,9,0
Shield,58,1,1,6,1,17,0,388
Shoes,417,2,2,5,1,33,2,9081
TamingMob,47,2,2,13,1,40,1053,1490
Weapon,1220,3,3,26,4,55,0,25844
