category,z_layer,count
Accessory,accessoryFace,925
Accessory,accessoryEye,164
Accessory,accessoryFaceBelowFace,123
Accessory,accessoryEar,72
Accessory,backAccessoryEar,59
Accessory,accessoryFaceOverCap,11
Accessory,accessoryFaceOverFaceBelowCap,11
Accessory,accessoryEyeOverCap,9
Cap,capOverHair,1904
Cap,cap,1430
Cap,backCap,974
Cap,backCapOverHair,171
Cap,capBelowAccessory,98
Cap,capAccessoryBelowBody,54
Cap,backCapAccessory,32
Cap,capBelowBody,21
Cap,backHair,5
Cap,capAccessoryBelowAccFace,2
Cap,backHairBelowCap,1
Cap,backHairOverCape,1
Cap,capeOverHead,1
Cape,capeBelowBody,7561
Cape,backWing,2920
Cape,capeOverHead,2416
Cape,backCape,844
Cape,cape,709
Cape,mailChestTop,192
Cape,gloveWristBelowMailArm,132
Cape,weaponOverGlove,84
Cape,mailArmBelowHead,71
Cape,backHairOverCape,28
Cape,backShield,4
Cape,mailArmBelowHeadOverMailChest,1
Coat,mailChest,25945
Coat,mailArmOverHair,15034
Coat,mailArm,11470
Coat,mailChestOverHighest,7250
Coat,mailArmBelowHead,3968
Coat,mailChestBelowPants,1990
Coat,mailArmBelowHeadOverMailChest,1860
Coat,backMailChest,1741
Coat,mailArmOverHairBelowWeapon,1267
Coat,backMailChestOverPants,981
Coat,mailChestOverPants,231
Coat,backMailChestBelowPants,48
Coat,backMailChestAccessory,2
Coat,armOverHair,1
Face,face,18868
Glove,gloveOverHair,12373
Glove,gloveOverBody,6799
Glove,glove,6135
Glove,gloveWristOverHair,2747
Glove,gloveBelowHead,1476
Glove,gloveWrist,1083
Glove,gloveWristOverBody,921
Glove,backGlove,743
Glove,gloveBelowMailArm,634
Glove,gloveBelowWeapon,603
Glove,gloveWristBelowHead,378
Glove,backGloveWrist,141
Glove,gloveWristBelowMailArm,88
Glove,gloveWristBelowWeapon,6
Hair,hair,2081
Hair,hairOverHead,2049
Hair,hairShade,1900
Hair,backHair,1518
Hair,backHairBelowCap,1357
Hair,hairBelowBody,1223
Hair,backHairBelowCapNarrow,192
Hair,backHairBelowCapWide,192
Hair,backHairOverCape,16
Longcoat,mailChest,16964
Longcoat,mailArmOverHair,14999
Longcoat,mailArm,12251
Longcoat,mailChestOverPants,10398
Longcoat,mailChestOverHighest,7044
Longcoat,mailArmBelowHead,4266
Longcoat,mailChestBelowPants,2458
Longcoat,backMailChest,2091
Longcoat,pantsOverShoesBelowMailChest,1846
Longcoat,mailArmBelowHeadOverMailChest,1544
Longcoat,mailArmOverHairBelowWeapon,1263
Longcoat,backPants,321
Longcoat,backMailChestOverPants,288
Longcoat,mailChestTop,237
Longcoat,backMailChestBelowPants,207
Longcoat,backShoesBelowPants,18
Longcoat,backPantsOverShoesBelowMailChest,4
Longcoat,armOverHair,1
Pants,pants,10414
Pants,pantsOverShoesBelowMailChest,9923
Pants,pantsBelowShoes,4850
Pants,pantsOverMailChest,1925
Pants,backPants,978
Pants,backPantsOverShoesBelowMailChest,788
Pants,backPantsBelowShoes,434
Pants,backPantsOverMailChest,222
Shield,shieldBelowBody,1295
Shield,shield,237
Shield,shieldOverHair,214
Shield,backShield,181
Shield,backShieldBelowBody,8
Shield,shieldBelowArm,1
Shoes,shoes,16168
Shoes,shoesOverPants,9894
Shoes,backShoes,2348
Shoes,shoesTop,2016
Shoes,backShoesBelowPants,48
TamingMob,tamingMobFront,617
TamingMob,tamingMobMid,542
TamingMob,saddleFront,504
TamingMob,saddleRear,485
TamingMob,tamingMobRear,158
TamingMob,backTamingMobMid,90
TamingMob,backSaddle,78
TamingMob,characterEnd,53
TamingMob,backTamingMobFront,30
TamingMob,saddleMid,23
TamingMob,backMobEquipUnderSaddle,8
TamingMob,backSaddleFront,4
TamingMob,mobEquipMid,2
Weapon,weapon,12228
Weapon,weaponBelowArm,8241
Weapon,weaponOverArm,7585
Weapon,weaponBelowBody,7036
Weapon,weaponOverGlove,5324
Weapon,weaponOverBody,5319
Weapon,weaponOverHand,3272
Weapon,backWeapon,1231
Weapon,weaponWristOverGlove,895
Weapon,backWeaponOverShield,379
Weapon,backWeaponOverGlove,284
Weapon,emotionOverBody,58
Weapon,weaponOverArmBelowHead,47
Weapon,backWeaponOverHead,28
Weapon,armBelowHeadOverMailChest,14
Weapon,mailArmOverHairBelowWeapon,10
Weapon,weaponWrist,9
Weapon,gloveWristBelowWeapon,8
Weapon,armOverHairBelowWeapon,3
Weapon,weaponBelowHand,3
Weapon,gloveWristOverBody,2
Weapon,weaponOveArm,2
Weapon,Weapon,1
Weapon,face,1
Weapon,hairBelowBody,1
Weapon,mailArmOverHair,1
