img,path,frame_count,w_range,h_range,first_frame
BasicEff.img,AranGetSkill,23,15-155,9-164,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\BasicEff.img\AranGetSkill\0.png
BasicEff.img,Assaulter/remain,7,1-149,1-76,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\BasicEff.img\Assaulter\remain\0.png
BasicEff.img,Assaulter/effect,6,83-91,75-82,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\BasicEff.img\Assaulter\effect\0.png
BasicEff.img,Assaulter/effect0,6,37-85,50-74,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\BasicEff.img\Assaulter\effect0\0.png
BasicEff.img,Buff,8,68-119,64-113,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\BasicEff.img\Buff\0.png
BasicEff.img,Catch/Success,8,68-119,64-113,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\BasicEff.img\Catch\Success\0.png
BasicEff.img,EmptyCanvas,1,1-1,1-1,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\BasicEff.img\EmptyCanvas\0.png
BasicEff.img,Enchant/Success,21,30-164,26-156,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\BasicEff.img\Enchant\Success\0.png
BasicEff.img,Enchant/Failure,16,30-96,26-122,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\BasicEff.img\Enchant\Failure\0.png
BasicEff.img,Event1/Success,16,66-142,74-129,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\BasicEff.img\Event1\Success\0.png
BasicEff.img,Event1/Failure,10,64-92,72-122,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\BasicEff.img\Event1\Failure\0.png
BasicEff.img,Event1/Best,11,55-213,64-216,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\BasicEff.img\Event1\Best\0.png
BasicEff.img,Event1/Good,10,87-130,83-129,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\BasicEff.img\Event1\Good\0.png
BasicEff.img,FindPrize/Success,32,24-164,17-156,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\BasicEff.img\FindPrize\Success\0.png
BasicEff.img,FindPrize/Failure,28,24-92,17-122,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\BasicEff.img\FindPrize\Failure\0.png
BasicEff.img,Flying,5,110-130,82-85,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\BasicEff.img\Flying\0.png
BasicEff.img,Flying1,8,52-167,85-126,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\BasicEff.img\Flying1\0.png
BasicEff.img,GetParao,16,44-222,59-209,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\BasicEff.img\GetParao\0.png
BasicEff.img,IncEXP,8,68-119,64-113,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\BasicEff.img\IncEXP\0.png
BasicEff.img,ItemLevelUp,22,79-179,20-165,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\BasicEff.img\ItemLevelUp\0.png
BasicEff.img,ItemMake/Success,21,32-164,22-156,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\BasicEff.img\ItemMake\Success\0.png
BasicEff.img,ItemMake/Failure,16,32-109,22-148,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\BasicEff.img\ItemMake\Failure\0.png
BasicEff.img,ItemSkill/Success,8,68-119,64-113,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\BasicEff.img\ItemSkill\Success\0.png
BasicEff.img,JobChanged,13,104-172,108-362,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\BasicEff.img\JobChanged\0.png
BasicEff.img,LevelUp,21,86-296,50-345,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\BasicEff.img\LevelUp\0.png
BasicEff.img,MonsterBook/cardGet,20,14-104,67-117,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\BasicEff.img\MonsterBook\cardGet\0.png
BasicEff.img,NoBlue0,10,22-31,32-33,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\BasicEff.img\NoBlue0\0.png
BasicEff.img,NoBlue1,10,25-37,37-39,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\BasicEff.img\NoBlue1\0.png
BasicEff.img,NoCri0,10,25-37,38-39,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\BasicEff.img\NoCri0\0.png
BasicEff.img,NoCri1,10,29-43,44-48,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\BasicEff.img\NoCri1\0.png
