img,path,frame_count,w_range,h_range,first_frame
CharacterEff.img,1112906/0,2,7-9,6-8,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\CharacterEff.img\1112906\0\0.png
CharacterEff.img,1112908/0,2,7-11,7-11,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\CharacterEff.img\1112908\0\0.png
CharacterEff.img,1042107/0,1,6-6,6-6,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\CharacterEff.img\1042107\0\0.png
CharacterEff.img,1002667/0,1,14-14,14-14,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\CharacterEff.img\1002667\0\0.png
CharacterEff.img,1032053/0,1,7-7,7-7,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\CharacterEff.img\1032053\0\0.png
CharacterEff.img,1032054/0,1,9-9,6-6,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\CharacterEff.img\1032054\0\0.png
CharacterEff.img,1072337/0,1,15-15,10-10,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\CharacterEff.img\1072337\0\0.png
CharacterEff.img,1082229/0,1,11-11,10-10,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\CharacterEff.img\1082229\0\0.png
CharacterEff.img,1112900/0,2,7-12,9-13,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\CharacterEff.img\1112900\0\0.png
CharacterEff.img,1112900/1,2,9-14,9-15,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\CharacterEff.img\1112900\1\0.png
CharacterEff.img,1112900/2,2,9-14,11-15,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\CharacterEff.img\1112900\2\0.png
CharacterEff.img,1112900/3,2,7-11,8-12,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\CharacterEff.img\1112900\3\0.png
CharacterEff.img,1112900/4,2,7-11,8-12,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\CharacterEff.img\1112900\4\0.png
CharacterEff.img,1112900/5,2,5-8,7-11,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\CharacterEff.img\1112900\5\0.png
CharacterEff.img,1112901/0,2,13-15,14-16,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\CharacterEff.img\1112901\0\0.png
CharacterEff.img,1112901/1,2,11-13,11-13,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\CharacterEff.img\1112901\1\0.png
CharacterEff.img,1112901/2,2,7-11,7-9,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\CharacterEff.img\1112901\2\0.png
CharacterEff.img,1112901/3,2,9-11,9-11,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\CharacterEff.img\1112901\3\0.png
CharacterEff.img,1112901/4,2,7-9,7-9,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\CharacterEff.img\1112901\4\0.png
CharacterEff.img,1112901/5,2,5-7,5-11,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\CharacterEff.img\1112901\5\0.png
CharacterEff.img,1112902/0,2,11-15,10-13,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\CharacterEff.img\1112902\0\0.png
CharacterEff.img,1112902/1,2,9-13,8-10,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\CharacterEff.img\1112902\1\0.png
CharacterEff.img,1112902/2,2,7-11,6-9,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\CharacterEff.img\1112902\2\0.png
CharacterEff.img,1112903/0,2,11-15,10-13,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\CharacterEff.img\1112903\0\0.png
CharacterEff.img,1112903/1,2,9-13,8-10,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\CharacterEff.img\1112903\1\0.png
