img,path,frame_count,w_range,h_range,first_frame
ItemEff.img,1112001/0,2,17-19,15-17,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\ItemEff.img\1112001\0\0.png
ItemEff.img,1112001/1,9,18-120,15-94,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\ItemEff.img\1112001\1\0.png
ItemEff.img,1112002/0,4,15-23,14-25,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\ItemEff.img\1112002\0\0.png
ItemEff.img,1112002/1,12,110-122,62-92,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\ItemEff.img\1112002\1\0.png
ItemEff.img,1112003/0,4,24-25,16-17,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\ItemEff.img\1112003\0\0.png
ItemEff.img,1112003/1,12,86-154,32-52,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\ItemEff.img\1112003\1\0.png
ItemEff.img,1112005/0,2,19-27,17-25,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\ItemEff.img\1112005\0\0.png
ItemEff.img,1112005/1,9,9-163,33-133,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\ItemEff.img\1112005\1\0.png
ItemEff.img,1112006/0,4,14-18,12-16,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\ItemEff.img\1112006\0\0.png
ItemEff.img,1112006/1,16,1-145,1-120,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\ItemEff.img\1112006\1\0.png
ItemEff.img,1112007/0,8,41-41,32-32,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\ItemEff.img\1112007\0\0.png
ItemEff.img,1112007/1,16,86-170,85-153,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\ItemEff.img\1112007\1\0.png
ItemEff.img,1112012/0,2,13-19,16-16,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\ItemEff.img\1112012\0\0.png
ItemEff.img,1112012/1,34,137-191,10-101,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\ItemEff.img\1112012\1\0.png
ItemEff.img,1112800/0,4,9-16,9-17,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\ItemEff.img\1112800\0\0.png
ItemEff.img,1112800/1,10,25-99,53-96,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\ItemEff.img\1112800\1\0.png
ItemEff.img,1112801/0,4,8-18,8-18,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\ItemEff.img\1112801\0\0.png
ItemEff.img,1112801/1,10,18-92,18-96,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\ItemEff.img\1112801\1\0.png
ItemEff.img,1112802/0,2,19-23,18-20,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\ItemEff.img\1112802\0\0.png
ItemEff.img,1112802/1,9,23-102,20-92,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\ItemEff.img\1112802\1\0.png
ItemEff.img,1112803/0,6,9-18,13-16,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\ItemEff.img\1112803\0\0.png
ItemEff.img,1112803/1,6,118-136,95-110,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\ItemEff.img\1112803\1\0.png
ItemEff.img,1112806/0,6,9-19,8-18,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\ItemEff.img\1112806\0\0.png
ItemEff.img,1112806/1,6,68-97,67-97,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\ItemEff.img\1112806\1\0.png
ItemEff.img,1112807/0,4,11-17,13-14,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\ItemEff.img\1112807\0\0.png
ItemEff.img,1112807/1,12,51-159,51-104,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\ItemEff.img\1112807\1\0.png
ItemEff.img,1112809/0,4,11-17,13-14,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\ItemEff.img\1112809\0\0.png
ItemEff.img,1112809/1,4,97-115,117-122,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\ItemEff.img\1112809\1\0.png
ItemEff.img,2022108,26,35-96,9-123,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\ItemEff.img\2022108\0.png
ItemEff.img,2022109,18,63-180,33-149,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\ItemEff.img\2022109\0.png
ItemEff.img,2022269,10,106-110,106-110,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\ItemEff.img\2022269\0.png
ItemEff.img,2022449,28,63-150,33-153,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\ItemEff.img\2022449\0.png
ItemEff.img,2022585,18,94-96,113-115,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\ItemEff.img\2022585\0.png
ItemEff.img,2022586,18,98-101,123-125,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\ItemEff.img\2022586\0.png
ItemEff.img,2022587,18,123-132,138-143,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\ItemEff.img\2022587\0.png
ItemEff.img,2022588,18,149-162,149-180,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\ItemEff.img\2022588\0.png
ItemEff.img,2022616,18,94-96,113-115,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\ItemEff.img\2022616\0.png
ItemEff.img,2022617,18,98-101,123-125,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\ItemEff.img\2022617\0.png
ItemEff.img,2270000,12,84-119,79-113,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\ItemEff.img\2270000\0.png
ItemEff.img,2270002/fail,11,75-104,75-104,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\ItemEff.img\2270002\fail\0.png
ItemEff.img,2270003/fail,11,75-104,75-104,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\ItemEff.img\2270003\fail\0.png
ItemEff.img,3012005/0,2,17-19,15-17,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\ItemEff.img\3012005\0\0.png
ItemEff.img,3012005/1,8,146-146,91-95,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\ItemEff.img\3012005\1\0.png
ItemEff.img,4300000,4,123-124,109-118,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\ItemEff.img\4300000\0.png
ItemEff.img,5100000,12,11-17,12-18,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\ItemEff.img\5100000\0.png
ItemEff.img,5110000,2,7-13,6-12,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\ItemEff.img\5110000\0.png
ItemEff.img,1112810/0,3,15-15,15-15,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\ItemEff.img\1112810\0\0.png
ItemEff.img,1112810/1,4,209-214,138-142,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\ItemEff.img\1112810\1\0.png
ItemEff.img,1112811/0,5,17-17,17-17,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\ItemEff.img\1112811\0\0.png
ItemEff.img,1112811/1,4,165-173,104-112,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\ItemEff.img\1112811\1\0.png
ItemEff.img,1112812/0,3,13-16,11-15,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\ItemEff.img\1112812\0\0.png
ItemEff.img,1112812/1,4,168-173,129-132,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\ItemEff.img\1112812\1\0.png
ItemEff.img,3012010/0,1,4-4,4-4,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\ItemEff.img\3012010\0\0.png
ItemEff.img,3012010/1,10,171-171,80-94,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\ItemEff.img\3012010\1\0.png
ItemEff.img,3012011/0,1,4-4,4-4,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\ItemEff.img\3012011\0\0.png
ItemEff.img,3012011/1,6,141-145,97-100,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\ItemEff.img\3012011\1\0.png
