id,name,frame_count,width,height,origin_x,origin_y,first_frame
03010000,,1,58,36,21,-16,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Item\Item.wz\Install\0301.img\03010000\effect\0.png
03010001,,1,41,36,16,-15,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Item\Item.wz\Install\0301.img\03010001\effect\0.png
03010002,,1,40,36,16,-14,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Item\Item.wz\Install\0301.img\03010002\effect\0.png
03010003,,1,40,36,16,-14,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Item\Item.wz\Install\0301.img\03010003\effect\0.png
03010004,,1,58,36,21,-16,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Item\Item.wz\Install\0301.img\03010004\effect\0.png
03010005,,1,58,36,21,-16,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Item\Item.wz\Install\0301.img\03010005\effect\0.png
03010006,,1,40,36,16,-14,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Item\Item.wz\Install\0301.img\03010006\effect\0.png
03010007,,1,62,34,25,-19,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Item\Item.wz\Install\0301.img\03010007\effect\0.png
03010008,,1,62,34,25,-19,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Item\Item.wz\Install\0301.img\03010008\effect\0.png
03010009,,1,74,80,37,28,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Item\Item.wz\Install\0301.img\03010009\effect\0.png
03010010,,1,62,34,16,-14,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Item\Item.wz\Install\0301.img\03010010\effect\0.png
03010011,,1,58,36,21,-16,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Item\Item.wz\Install\0301.img\03010011\effect\0.png
03010012,,1,86,88,24,36,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Item\Item.wz\Install\0301.img\03010012\effect\0.png
03010013,,1,102,110,51,60,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Item\Item.wz\Install\0301.img\03010013\effect\0.png
03010014,,1,92,84,39,23,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Item\Item.wz\Install\0301.img\03010014\effect\0.png
03010015,,1,58,36,21,-16,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Item\Item.wz\Install\0301.img\03010015\effect\0.png
03010016,,1,62,34,25,-19,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Item\Item.wz\Install\0301.img\03010016\effect\0.png
03010017,,1,62,34,25,-19,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Item\Item.wz\Install\0301.img\03010017\effect\0.png
03010018,,1,118,151,42,99,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Item\Item.wz\Install\0301.img\03010018\effect\0.png
03010019,,1,87,102,43,51,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Item\Item.wz\Install\0301.img\03010019\effect\0.png
03010022,,1,96,98,48,45,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Item\Item.wz\Install\0301.img\03010022\effect\0.png
03010023,,1,96,98,48,45,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Item\Item.wz\Install\0301.img\03010023\effect\0.png
03010024,,1,53,37,4,-14,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Item\Item.wz\Install\0301.img\03010024\effect\0.png
03010025,,1,164,174,55,122,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Item\Item.wz\Install\0301.img\03010025\effect\0.png
